Component,State/Province,Dentitions,Foetal remains,Collection issues,Foetal remains description,Point style,RC age (95% intrvls),Med cal age,Reference,Pages,Notes
Ravenscroft I,Oklahoma,unknown,yes,no,NISP unknown,unknown,"9769-9576, 9574-9562 (petrous; UCIAMS-61664)",9680,"Muhammad, Faisal S., 2017. The Ravenscroft II Site: A Late Paleo-Indian Winter Bison Kill Event in the Oklahoma Panhandle. MA thesis, University of Oklahoma, Norman.",39-40,"Radiocarbon date from Bement et al. (2012, Oklahoma Anthropological Society Bulletin 60: 12-30)."
Ravenscroft II,Oklahoma,yes,yes,no,NISP=2 and other presumably unidentified specimens,unfluted,"10654-10618, 10605-10488, 10458-10436 (petrous; UCIAMS-136077)",10548,"Muhammad, Faisal S., 2017. The Ravenscroft II Site: A Late Paleo-Indian Winter Bison Kill Event in the Oklahoma Panhandle. MA thesis, University of Oklahoma, Norman.",54-55,
Rex Rodgers,Texas,yes,no,no,,unfluted,10723-10270 (bone apatite; SMU-274),10526,"Hill, Matthew E., 2010. Analysis of Site Formation Processes at the Rex Rodgers Bison Bonebed. Plains Anthropologist 55(2013): 3-24.",16-18,
San Jon: Area II,New Mexico,no,no,yes,,unfluted,"9886-9873, 9868-9844, 9822-8704, 8666-8662 (residue; A-7864)",9313,"Hill, Matthew G., Holliday, Vance T., Stanford, Dennis J., 1995. A Further Evaluation of the San Jon Site, New Mexico. Plains Anthropologist 40(154): 369-390.",380,
Scottsbluff,Nebraska,yes,no,yes,,unfluted,"10239-9763, 9752-9746 (gelatin; AA-67443)",10035,"Hill, Matthew E., Jr., Boehm, Andrew R., 2017. A New Look at the Old Scottsbluff Bison Quarry: Using Isotopes and Zooarchaeology to Understand Bonebed Formation. PaleoAmerica 3(1): 84-95.",89,
Seminole-Rose,Texas,no,unknown,no,,unfluted,none,none,"Collins, Michael B., Stanford, Dennis J., Hofman, Jack L., Jodry, Margaret A., Rose, Richard O., Todd, Lawrence C., Kibler, Karl, Blackmar, Jeannette M., 1997. Cody Down South: The Seminole-Rose Site in West Texas. Current Research in the Pleistocene 14: 15-18.",16,
Shifting Sands,Texas,no,no,no,,fluted,none,none,"Hofman, Jack L., Amick, Daniel S., Rose, Richard O., 1990. Shifting Sands: A Folsom-Midland Assemblage from a Campsite in Western Texas. Plains Anthropologist 35(129): 221-253.",233-234,
St. Louis: VII,Saskatchewan,no,no,no,,unfluted,"8968-8964, 8953-8919, 8891-8889, 8862-8832, 8783-8420 (unknown material; Beta-17609)",8517,"Rychlo, Jennifer N., 2016. The Camp Rayner Site (EgNr-2): Terminal/Lae Paleoindian and Early Middle Period Transitions on the Northern Plains. MA thesis, University of Saskatchewan, Saskatoon.",91-92,Associated contract report indicates no seasonality data.
St. Louis: VIII,Saskatchewan,no,no,no,,unknown,8997-8636 (bone; Beta-168388),8825,"Rychlo, Jennifer N., 2016. The Camp Rayner Site (EgNr-2): Terminal/Lae Paleoindian and Early Middle Period Transitions on the Northern Plains. MA thesis, University of Saskatchewan, Saskatoon.",91-92,Associated contract report indicates no seasonality data.
Stewart's Cattle Guard,Colorado,yes,no,no,,fluted,none,none,"Jodry, Margaret A. B., 1999. Folsom Technological and Socioeconomic Strategies: Views from Stewart's Cattle Guard and the Upper Rio Grande Basin, Colorado. PhD dissertation, American University, Washington, D.C.",268,
Upper Twin Mountain,Colorado,yes,no,no,,fluted,"12561-12362, 12359-12221, 12218-12137 (bone; CAMS-26782)",12418,"Kornfeld, Marcel, 2013. The First Rocky Mountaineers: Coloradans Before Colorado. University of Utah Press, Salt Lake City.",102-105,
Waugh,Oklahoma,no,no,no,,fluted,"12696-11601, 11544-11536, 11534-11496, 11428-11412 (charcoal; NZA-3602)",12188,"Hill, Matthew E., Jr., Hofman, Jack L., 1997. The Waugh Site: A Folsom-Age Bison Bonebed in Northwestern Oklahoma. Plains Anthropologist 42(159): 63-83.",71-73,
"Welsch Locality: Plains Mountain, Component 1",Alberta,unknown,no,no,,unfluted,"9448-8858, 8834-8778 (bone collagen; AECV-1379C)",9149,"Van Dyke, Stanley, 2008. Oldman River Dam Prehistoric Archaeology Mitigation Program. Occasional Papers of the Archaeological Society of Alberta No. 9. Alberta Community Development, Provincial Museum of Alberta, Edmonton.",123,"Lack of mention of foetal bone, unlike the narrative for the other two Welsch components."
"Welsch Locality: Plains Mountain, Component 2",Alberta,yes,yes,no,NISP=34,unfluted,8545-8340 (bone collagen; Beta-38788),8422,"Van Dyke, Stanley, 2008. Oldman River Dam Prehistoric Archaeology Mitigation Program. Occasional Papers of the Archaeological Society of Alberta No. 9. Alberta Community Development, Provincial Museum of Alberta, Edmonton.",134,Foetal remains are widely dispersed throughout the bonebed.
"Welsch Locality: Plains Mountain, Component 3",Alberta,unknown,yes,no,MNI=1,unfluted,8413-8037 (bone collagen; AECV-1377C),8262,"Van Dyke, Stanley, 2008. Oldman River Dam Prehistoric Archaeology Mitigation Program. Occasional Papers of the Archaeological Society of Alberta No. 9. Alberta Community Development, Provincial Museum of Alberta, Edmonton.",148,"Foetal bone is comprised of ""scrap"""
Winger,Kansas,no,no,no,,unfluted,"10501-10118, 10067-9925 (bone; unknown lab ID)",10248,"Boehm, Andrew R., 2016. Were Bison Predictable Prey? Using Stable Isotopes to Examine Early Holocene Bison Mobility on the Central Great Plains. PhD dissertation, Southern Methodist University, Dallas.",138-139,"Radiocarbon date from Mandel and Hofman (2002, Current Research in the Pleistocene 19: 61-64)."
Zapata,Colorado,unknown,unknown,no,,fluted,none,none,"Dawson, Jerry, Stanford, Dennis, 1975. The Linger Site: A Re-Investigation. Southwestern Lore 41: 11-16.",NA,
